fname,filtered_sound,mfcc
murmur__112_1306243000964_B.wav,[0.01954737 0.02045201 0.02130137 ... 0.02787345 0.02469375 0.02144229],"[[-386.82365759 -396.29472843 -398.82976211 ... -393.43233033
  -393.28094421 -375.25520145]
 [ 106.44087242  105.76072867  102.33732237 ...  108.64886356
   108.68321851  117.92877961]
 [  54.74482908   71.73993883   68.23484575 ...   71.68872527
    71.62987713   57.89121459]
 ...
 [   2.71239105    6.30482362    9.04215624 ...    8.37705003
     6.78000878    3.97742959]
 [   1.32590278    2.65381023    4.11910868 ...    1.97256502
     3.63925787    3.56212997]
 [   1.31676858    2.03312612    4.10813509 ...   -0.50474055
     2.24413036    2.39475851]]"
murmur__112_1306243000964_D.wav,[0.03399343 0.03773368 0.04140971 ... 0.08688953 0.07532354 0.06347986],"[[-3.56744857e+02 -3.91241578e+02 -4.13198902e+02 ... -4.06277533e+02
  -3.46262431e+02 -2.79905460e+02]
 [ 1.32882160e+02  1.33879166e+02  1.23086790e+02 ...  1.33560495e+02
   1.71153596e+02  1.57949885e+02]
 [ 4.01612369e+01  6.53123591e+01  8.12829457e+01 ...  9.31567495e+01
   7.61068296e+01  5.27349684e+01]
 ...
 [ 4.66421881e+00  6.83387721e+00  8.45721372e+00 ...  1.22675863e+01
   1.03628265e+01  9.95380299e+00]
 [ 3.10495173e+00  6.45954036e+00  3.15636162e+00 ...  7.51012047e+00
   7.96794014e+00  7.62198281e+00]
 [ 2.20451535e+00  4.77902617e+00  2.50464703e-01 ...  5.90425927e+00
   6.46499271e+00  5.99466022e+00]]"
murmur__116_1306258689913_A.wav,"[ 4.60979860e-04  3.45767441e-05 -3.70481020e-04 ... -4.55968819e-02
 -3.67775693e-02 -2.76882950e-02]","[[-4.52418711e+02 -4.42155367e+02 -4.43898383e+02 ... -4.30967132e+02
  -4.08529096e+02 -3.57432521e+02]
 [ 1.38994849e+02  1.51396274e+02  1.48593335e+02 ...  1.66033267e+02
   1.72122957e+02  1.62976095e+02]
 [ 8.43528854e+01  9.18928025e+01  8.87532757e+01 ...  1.03328799e+02
   7.57157652e+01  3.88296040e+01]
 ...
 [-8.96485369e+00 -5.66118312e+00 -1.80581230e+00 ...  6.18069929e-01
   4.02481413e+00  5.98456684e+00]
 [-4.99755492e+00 -1.75088430e+00 -1.81564338e-01 ...  4.80199820e+00
   5.97536667e+00  7.36567425e+00]
 [ 2.63573781e+00  4.95409561e+00  3.55314849e+00 ...  6.84056355e+00
   4.60471258e+00  5.95502513e+00]]"
murmur__116_1306258689913_C.wav,"[-2.82943664e-04 -2.66153710e-05  2.34524508e-04 ... -2.65369248e-03
 -2.36020228e-03 -2.05611544e-03]","[[-5.22560259e+02 -5.07770419e+02 -5.03924494e+02 ... -4.98818162e+02
  -5.07582933e+02 -5.11637679e+02]
 [ 1.55939809e+02  1.71634242e+02  1.73775224e+02 ...  1.86150604e+02
   1.74138330e+02  1.67544045e+02]
 [ 8.44769407e+01  8.91287563e+01  8.48720495e+01 ...  1.07218614e+02
   9.65444440e+01  8.89219849e+01]
 ...
 [-2.93319251e-02  1.44502794e+00  2.78021216e+00 ... -2.17792540e+00
  -1.37062506e+00  2.56923221e+00]
 [ 4.98707660e-01  5.80585709e+00  7.75171636e+00 ...  8.90283170e-01
   1.56110335e+00  2.79918714e+00]
 [ 1.69207489e+00  7.41217690e+00  8.13103423e+00 ...  1.07269019e+00
   1.60606916e+00 -7.57403272e-01]]"
murmur__116_1306258689913_D.wav,"[ 0.00229554  0.00185401  0.00143823 ... -0.00271007 -0.00222882
 -0.00172588]","[[-5.20284402e+02 -5.15524117e+02 -5.15936254e+02 ... -4.97556481e+02
  -5.08388367e+02 -5.24473030e+02]
 [ 1.74343270e+02  1.84492178e+02  1.86763609e+02 ...  2.01311892e+02
   1.89930468e+02  1.73101068e+02]
 [ 8.07941979e+01  9.07488642e+01  9.81845265e+01 ...  8.89341570e+01
   8.59828091e+01  8.17702264e+01]
 ...
 [ 2.70353038e+00  3.02771956e+00 -4.86494772e-01 ...  8.39906953e-01
   4.65093696e+00  2.43078043e+00]
 [ 6.57004293e+00  4.38017658e+00  2.19591100e+00 ...  2.80888581e+00
   7.62656369e+00  4.64799336e+00]
 [ 6.28421456e+00  1.08900484e+00  3.09559515e-01 ...  1.66483007e+00
   4.66483535e+00  2.48326458e+00]]"
murmur__122_1306325762831_C.wav,"[-0.00221967 -0.00198236 -0.00174272 ...  0.00051291 -0.00023794
 -0.00101117]","[[-5.31571001e+02 -5.19357035e+02 -5.21821689e+02 ... -5.34891213e+02
  -5.32786820e+02 -5.36308862e+02]
 [ 1.53464373e+02  1.69170907e+02  1.66494468e+02 ...  1.50990557e+02
   1.52796594e+02  1.46591616e+02]
 [ 7.69744282e+01  8.65856645e+01  8.57937987e+01 ...  7.67134145e+01
   7.64324047e+01  7.01707911e+01]
 ...
 [ 2.51047945e+00  3.28088564e+00  3.06399739e+00 ...  5.01459296e+00
   5.36669410e+00  2.97516265e+00]
 [-6.82848585e-01  4.60989644e+00  5.00256365e+00 ...  8.67663000e+00
   9.01275418e+00  4.95185543e+00]
 [-2.27002548e-01  2.28325584e+00  4.72941908e+00 ...  9.60654215e+00
   9.95647797e+00  6.89915123e+00]]"
murmur__122_1306325762831_D.wav,"[-0.02437881 -0.02256376 -0.02062579 ...  0.00342315  0.00295756
  0.00247722]","[[-362.93552357 -397.98814433 -429.59828096 ... -478.16251773
  -479.82857681 -481.5678047 ]
 [ 156.95236686  173.95114072  160.34239539 ...  106.22002583
   104.12258146  101.28621636]
 [  56.2117414    72.90552428   88.80641464 ...   67.60866716
    66.21982847   62.92810712]
 ...
 [   9.72787502   11.60452052    9.36685794 ...    6.94877627
     7.45642333    6.39601935]
 [   6.75009173    8.48712953   10.94704973 ...    4.44578481
     4.62924236    5.41790271]
 [   4.14393677    8.6373086    13.55753589 ...    5.38377309
     4.12086409    5.36316657]]"
murmur__156_1306936373241_B.wav,"[ 0.02088109  0.02172391  0.022574   ... -0.11619614 -0.09591428
 -0.07504433]","[[-3.85266138e+02 -3.97999617e+02 -4.02781185e+02 ... -4.09100634e+02
  -3.77086667e+02 -2.72162276e+02]
 [ 1.41093478e+02  1.51700384e+02  1.50682571e+02 ...  1.46373483e+02
   1.57470726e+02  1.53749522e+02]
 [ 5.41201892e+01  8.00540485e+01  8.61757771e+01 ...  9.14811538e+01
   6.20719404e+01  3.71801103e+01]
 ...
 [ 2.58888164e+00  4.08156074e-02 -3.89680239e+00 ...  1.06367133e+00
   9.04898214e+00  4.59803772e+00]
 [ 6.59178707e-01 -1.10646051e+00 -3.45799409e+00 ... -7.81318228e-01
   6.03024025e+00  3.91101795e+00]
 [ 9.87660413e-01  1.47975909e+00  1.11179417e+00 ...  3.21885796e+00
   4.59073115e+00  2.97950999e+00]]"
murmur__160_1307100683334_A.wav,"[-0.13599379 -0.13998336 -0.14381162 ...  0.00863108  0.00740736
  0.00615842]","[[-2.26484142e+02 -2.84985472e+02 -4.04058302e+02 ... -3.98632447e+02
  -4.14647862e+02 -4.26280105e+02]
 [ 1.22013773e+02  1.33993568e+02  1.41820696e+02 ...  1.53263663e+02
   1.32755446e+02  1.16327607e+02]
 [ 3.07161432e+01  3.79922863e+01  8.65577763e+01 ...  1.04695655e+02
   8.96185548e+01  7.41730070e+01]
 ...
 [-6.08357713e+00  5.91416992e-01  5.76180854e+00 ...  6.55353959e+00
   8.26946464e+00  6.42917849e+00]
 [-7.28259845e+00 -1.59974028e+00  3.53556093e+00 ...  6.14501317e-01
   2.37175386e+00  1.78801144e-01]
 [-2.65993754e+00  1.09795601e+00  4.61219609e+00 ...  2.84141083e-01
   9.22454786e-01 -2.60023928e+00]]"
murmur__160_1307100683334_B.wav,"[ 0.00566371  0.00768555  0.00970708 ... -0.82442073 -0.78040345
 -0.7385337 ]","[[-3.91161983e+02 -3.83887580e+02 -3.74897943e+02 ... -2.48093224e+02
  -1.42959187e+02 -5.30884001e+01]
 [ 1.05499160e+02  1.14026335e+02  1.25834588e+02 ...  2.63534746e+02
   2.17175697e+02  1.48549974e+02]
 [ 7.52980323e+01  7.96649190e+01  8.91024905e+01 ...  1.33860930e+02
   8.50046340e+01  5.40323830e+01]
 ...
 [ 8.38652403e+00  6.39866026e+00  8.67599945e+00 ... -7.94976677e+00
  -4.17301295e+00  6.59610243e+00]
 [ 1.94150181e+00 -6.07927078e-01  1.31304205e+00 ... -4.82584605e-01
  -5.63450668e+00  4.20354499e+00]
 [ 2.00127542e-01 -1.69662282e+00 -8.63404507e-01 ...  1.81056715e+00
  -2.78058024e+00  2.39344372e+00]]"
murmur__161_1307101199321_A.wav,[0.004088   0.00265026 0.00124859 ... 0.02254154 0.02026994 0.01798731],"[[-423.44137213 -411.49578557 -408.94797778 ... -403.28934118
  -401.86930382 -384.58087991]
 [ 130.92904361  147.47928985  149.58369204 ...  157.76778282
   159.17774297  156.40088123]
 [  88.01042585  102.11371377  101.18579574 ...  108.50567035
   108.70418938   76.05503932]
 ...
 [   2.1480949     0.62894236   -2.74618244 ...   -4.57772997
    -3.14901826   -2.85684694]
 [   1.15312575   -2.41291753   -2.26687467 ...  -11.55459992
    -9.33530192   -7.84948232]
 [   2.54401779   -0.66721619    1.07300391 ...  -12.93427571
   -11.99867788  -10.54285167]]"
murmur__162_1307101835989_A.wav,"[ 0.00327459 -0.00287059 -0.00897314 ... -0.00940626 -0.00887052
 -0.00835055]","[[-367.65798684 -362.66972361 -372.69982027 ... -433.28210214
  -431.82528813 -441.58737246]
 [ 197.12512419  213.24007434  206.62204923 ...  137.35406512
   138.9847904   128.72516041]
 [  82.5910415   104.70589379  111.61731977 ...   78.81294613
    79.67675685   78.78553603]
 ...
 [  -2.0737858    -0.82199903   -2.92973745 ...    0.9604227
     2.12236335    3.40929009]
 [  -1.45483917    0.48496438   -1.63970581 ...   -1.62936052
    -0.6316427    -2.62109804]
 [   1.37674736    1.49450551   -1.01331625 ...    1.33994449
     0.88865793   -4.57661659]]"
murmur__162_1307101835989_B.wav,"[-0.04048052 -0.04244167 -0.04431727 ... -0.02025974 -0.01975341
 -0.01930457]","[[-3.41225990e+02 -3.68766672e+02 -4.06999196e+02 ... -4.27065202e+02
  -4.35386232e+02 -4.11976320e+02]
 [ 1.28525130e+02  1.76087608e+02  2.09974005e+02 ...  1.93678066e+02
   1.84243554e+02  1.75374232e+02]
 [ 3.42021024e+01  5.81016079e+01  1.07324760e+02 ...  1.14314350e+02
   1.10610419e+02  7.11982029e+01]
 ...
 [ 1.10313482e+01  9.03881833e-01 -3.51000097e+00 ... -8.24781936e+00
  -6.40847917e+00 -3.50062501e+00]
 [ 1.00269512e+01  2.11976422e+00  6.28041053e+00 ... -3.66829669e+00
  -6.18910474e-01 -2.69827693e+00]
 [ 9.26242511e+00  5.21541768e+00  8.62787098e+00 ...  1.67879627e-01
   4.01584713e+00 -8.44295577e-01]]"
murmur__164_1307106095995_B.wav,"[-0.05661658 -0.05225971 -0.04785464 ... -0.00804462 -0.00907294
 -0.01016985]","[[-2.41902439e+02 -2.72112456e+02 -3.04480843e+02 ... -3.82235035e+02
  -3.68931428e+02 -3.58489232e+02]
 [ 2.00074771e+02  2.31313163e+02  2.24353605e+02 ...  1.38794955e+02
   1.55069388e+02  1.67046512e+02]
 [ 7.30272727e+01  9.41537130e+01  1.18505953e+02 ...  8.87505528e+01
   9.84900290e+01  1.04800748e+02]
 ...
 [-4.36421906e+00 -7.69606274e+00 -1.31202095e+01 ...  1.41178436e-01
   3.32937818e+00  7.78157750e+00]
 [-6.98781037e+00 -6.59600644e+00 -6.93914189e+00 ...  2.14781176e+00
   6.50748261e+00  9.24494689e+00]
 [-5.76194548e+00 -2.91655849e+00 -2.08804144e+00 ...  5.19345272e+00
   7.12568934e+00  6.17177558e+00]]"
murmur__164_1307106095995_C.wav,[0.02009994 0.01870011 0.01733983 ... 0.00958932 0.00939218 0.0092441 ],"[[-3.99430863e+02 -4.18666054e+02 -4.34092960e+02 ... -4.51274718e+02
  -4.41403356e+02 -4.37384202e+02]
 [ 1.33093151e+02  1.51174210e+02  1.44791055e+02 ...  1.29876322e+02
   1.40265666e+02  1.36264041e+02]
 [ 3.82836532e+01  6.63584285e+01  7.74067488e+01 ...  8.14725171e+01
   8.35420988e+01  6.90750481e+01]
 ...
 [ 2.91074113e+00  1.92511475e+00  1.04385961e+00 ... -3.34971147e+00
   7.65328970e+00  1.46901829e+01]
 [ 6.06134305e-01  2.54364889e+00  5.76766724e+00 ... -3.06850841e+00
   8.97233150e+00  1.35328968e+01]
 [ 1.05207456e+00  4.10957859e+00  7.27086991e+00 ...  2.27877776e-01
   8.01696280e+00  8.87817707e+00]]"
murmur__165_1307109069581_C.wav,"[-0.00208014 -0.00187659 -0.00167304 ... -0.02125832 -0.01723366
 -0.01306469]","[[-5.13442152e+02 -4.89442930e+02 -4.78422772e+02 ... -4.51145557e+02
  -4.79557964e+02 -4.60066130e+02]
 [ 1.14757652e+02  1.44393954e+02  1.59666502e+02 ...  1.88103556e+02
   1.56075555e+02  1.56083624e+02]
 [ 6.62208552e+01  8.57493354e+01  9.95680461e+01 ...  1.04499124e+02
   9.15016371e+01  5.98007966e+01]
 ...
 [ 3.43247964e+00 -3.98708929e+00 -6.61051113e+00 ...  3.11085006e-01
   7.02181532e+00  7.14739876e+00]
 [ 1.21148360e+00 -4.90229148e+00 -7.20387007e+00 ... -9.24804631e-01
   3.47281191e+00  4.34751961e+00]
 [ 3.28296324e+00 -2.87149138e+00 -4.16086287e+00 ...  1.08653806e+00
   2.56090501e+00  2.19265424e+00]]"
murmur__165_1307109069581_C2.wav,"[ 0.00393854  0.0048681   0.00577258 ... -0.00231451 -0.00223523
 -0.00215226]","[[-499.84622849 -486.39297771 -486.6565468  ... -505.03544908
  -503.86367892 -511.38591044]
 [ 137.34371076  156.47900077  156.18561171 ...  135.83865289
   137.84648796  128.93402959]
 [  69.66854341   84.95835216   84.81455752 ...   76.17186515
    78.966627     74.19976191]
 ...
 [   7.39130928    5.34738523    5.90425813 ...    8.56959749
     6.02010038    8.09186623]
 [   2.7612141     4.38019819    8.21976834 ...    8.71895898
     5.83180402    5.91337461]
 [   1.10849639    3.31082518    7.4839631  ...    7.14882115
     6.45933782    5.31552479]]"
murmur__171_1307971016233_D.wav,"[ 0.01052852  0.01210668  0.01372302 ... -0.29033108 -0.2423551
 -0.19270944]","[[-386.43352119 -341.4720552  -308.46120204 ... -307.39183743
  -215.00590204 -167.62330302]
 [ 151.10569144  206.09454429  241.1663149  ...  229.2225837
   182.70396498  157.51157699]
 [  95.92952007  128.06643568  136.93881289 ...  100.14867878
    44.13968431   36.34622298]
 ...
 [   4.48258315    6.09026499    2.76274054 ...   -2.04186952
     4.24414654    5.35014565]
 [   7.40895539   11.44184254    8.01572961 ...    4.43203423
     3.04222113    4.69076573]
 [   6.59512696   12.35230415   10.2351227  ...    4.55894368
     3.11800861    3.66250937]]"
murmur__171_1307971016233_D1.wav,"[ 0.04590984  0.04889715  0.05171636 ... -0.02525581 -0.02062272
 -0.01582476]","[[-3.16565226e+02 -3.34885840e+02 -3.19915897e+02 ... -3.43584458e+02
  -3.48511636e+02 -3.54337115e+02]
 [ 1.45732128e+02  1.79925162e+02  2.14737418e+02 ...  1.94210457e+02
   1.87663959e+02  1.69846856e+02]
 [ 4.85118885e+01  8.42298417e+01  1.18679112e+02 ...  1.23535169e+02
   1.18174627e+02  8.85316303e+01]
 ...
 [ 4.34320105e+00  1.43617020e+00  4.53028873e+00 ... -2.31386605e+00
   1.89718717e-01  7.14834113e+00]
 [ 5.06994338e+00  3.09696421e-01  8.13287683e+00 ...  4.81394109e+00
   3.81357991e+00  7.57904953e+00]
 [ 5.16990188e+00  7.79462156e-01  6.35604757e+00 ...  1.19273896e+01
   7.76166483e+00  5.99664855e+00]]"
murmur__171_1307971016233_E.wav,"[-0.00025645 -0.00200887 -0.00373982 ... -0.09255062 -0.06177526
 -0.03011831]","[[-3.88223151e+02 -3.72430016e+02 -3.55292354e+02 -3.23348153e+02
  -3.01272919e+02 -2.84729717e+02 -2.75872881e+02 -2.77169314e+02
  -2.74749541e+02 -2.69072625e+02 -2.63546785e+02 -2.64668353e+02
  -2.69134655e+02 -2.80275430e+02 -2.67757814e+02 -2.67054693e+02
  -3.16051656e+02 -3.55076783e+02 -3.48110438e+02 -3.54361906e+02
  -3.40113944e+02 -3.14373680e+02 -2.94307102e+02 -2.82611247e+02
  -2.78078163e+02 -2.67238723e+02 -2.56685492e+02 -2.47431425e+02
  -2.41353190e+02 -2.50465491e+02 -2.69294276e+02 -2.96371269e+02
  -3.33953178e+02 -3.53886694e+02 -3.59076274e+02 -3.64805601e+02
  -3.14867870e+02]
 [ 1.48235706e+02  1.66197070e+02  1.82195821e+02  2.17183130e+02
   2.44771998e+02  2.62749704e+02  2.69687815e+02  2.68228169e+02
   2.70960487e+02  2.75662488e+02  2.81132222e+02  2.81363499e+02
   2.78074974e+02  2.67961655e+02  2.72852452e+02  2.70074650e+02
   2.22029246e+02  1.85937302e+02  1.93765711e+02  1.85354752e+02
   2.02644835e+02  2.32692678e+02  2.54080376e+02  2.64988252e+02
   2.67396886e+02  2.74389270e+02  2.82941463e+02  2.91535720e+02
   2.97007803e+02  2.88631788e+02  2.75365475e+02  2.51647972e+02
   2.12259963e+02  1.87307662e+02  1.83271833e+02  1.76868051e+02
   1.93458658e+02]
 [ 9.15793797e+01  9.99512542e+01  9.78493652e+01  1.10816152e+02
   1.29488705e+02  1.35423934e+02  1.31293256e+02  1.30171471e+02
   1.31183846e+02  1.29411326e+02  1.29836699e+02  1.33174990e+02
   1.36032724e+02  1.37493044e+02  1.20019775e+02  1.10505068e+02
   1.04697484e+02  1.07858885e+02  1.11148670e+02  1.04034441e+02
   1.15216193e+02  1.30983971e+02  1.36827281e+02  1.36067411e+02
   1.30623178e+02  1.22322823e+02  1.19252817e+02  1.19366726e+02
   1.18482220e+02  1.17885405e+02  1.29704596e+02  1.35045448e+02
   1.25381783e+02  1.08419896e+02  1.11942259e+02  1.09916808e+02
   5.74928453e+01]
 [ 3.44035149e+01  3.51294340e+01  1.88173603e+01  1.48838007e+01
   2.36862950e+01  1.95074106e+01  9.28672023e+00  7.40480313e+00
   6.41884916e+00  1.25782883e+00 -2.17315665e+00  1.54032072e+00
   8.26350603e+00  1.70983770e+01 -4.73868062e+00 -1.61411303e+01
   2.23338950e+00  3.00042242e+01  2.94574616e+01  2.46742509e+01
   3.11954593e+01  3.45715645e+01  2.74190519e+01  1.87489358e+01
   9.27431452e+00 -4.44255343e+00 -1.14277469e+01 -1.53749595e+01
  -2.04822658e+01 -1.92575999e+01  2.99706166e+00  2.47319780e+01
   3.78245681e+01  2.96752687e+01  4.00197004e+01  4.32486338e+01
   5.84209895e+00]
 [ 2.86365617e+00  2.00774656e+00 -1.57891804e+01 -2.24349653e+01
  -2.10156294e+01 -2.83417683e+01 -3.60297179e+01 -3.91733795e+01
  -4.18862521e+01 -4.56605635e+01 -4.97420846e+01 -4.89660454e+01
  -4.27252313e+01 -3.49325268e+01 -3.86568266e+01 -4.57750159e+01
  -3.40948353e+01 -1.21311075e+01 -1.36918472e+01 -1.48488851e+01
  -9.57192395e+00 -1.06628377e+01 -2.14853507e+01 -3.03855385e+01
  -3.72975701e+01 -4.30931197e+01 -4.37285093e+01 -4.58790884e+01
  -5.14100591e+01 -5.46957047e+01 -4.31026882e+01 -2.75302458e+01
  -1.09952657e+01 -1.29456667e+01  1.05589960e-03  7.35324887e+00
   1.08813309e+01]
 [ 4.24754832e-01  2.07636229e+00 -6.82656010e+00 -7.09389955e+00
  -9.91356308e+00 -1.53872032e+01 -1.76408369e+01 -2.06870490e+01
  -2.48196323e+01 -2.63601251e+01 -2.89296153e+01 -3.09621751e+01
  -2.72489168e+01 -2.41137928e+01 -9.41916036e+00 -1.19563501e+01
  -1.63783001e+01 -1.49456773e+01 -1.52051674e+01 -1.18953766e+01
  -6.68368275e+00 -6.16592591e+00 -1.34262056e+01 -1.93964978e+01
  -2.13391463e+01 -1.78255385e+01 -1.13253400e+01 -1.12994059e+01
  -1.60049405e+01 -2.25565960e+01 -2.52369992e+01 -2.39532728e+01
  -1.66782977e+01 -1.59819199e+01 -4.36460569e+00  4.71845245e+00
   8.36114569e+00]
 [ 1.12731524e+01  1.45973706e+01  1.58574607e+01  2.05187023e+01
   1.53868225e+01  1.15017731e+01  1.08375260e+01  9.97005090e+00
   4.55895743e+00  2.37290374e+00  1.49554182e+00 -3.60147805e-01
   1.49315108e+00  3.19542034e+00  1.74421088e+01  1.49932736e+01
   8.39079011e+00  1.66194898e-01  1.36761974e+00  8.09082543e+00
   1.13831003e+01  1.37461069e+01  1.07752687e+01  5.12165828e+00
   5.11341658e+00  9.00829013e+00  1.51398838e+01  1.42661511e+01
   9.73248356e+00  5.19892964e+00  9.29333924e-01 -2.44879563e+00
  -3.23981785e+00 -2.02353795e+00  7.01153450e+00  1.53840126e+01
   5.08818896e+00]
 [ 1.76034290e+01  1.91989576e+01  2.50256986e+01  2.89512171e+01
   2.25388222e+01  1.73506615e+01  1.43627271e+01  1.61673751e+01
   9.83084403e+00  5.18965466e+00  5.50299732e+00  5.44534335e+00
   6.35366626e+00  1.10124572e+01  1.18660362e+01  6.78691016e+00
   1.00726796e+01  1.10560305e+01  1.23025505e+01  1.88954908e+01
   1.85006993e+01  1.97313892e+01  1.80779153e+01  1.00545146e+01
   7.87434030e+00  6.43586307e+00  7.18830232e+00  5.03309432e+00
   1.47170566e+00  1.41847067e-01  3.30902755e+00  5.72806658e+00
   3.84062973e+00  5.39447762e+00  1.26357625e+01  1.87701624e+01
   7.92566196e+00]
 [ 1.39123412e+01  1.19897577e+01  1.66033063e+01  1.79259161e+01
   1.15467914e+01  3.91871471e+00 -6.27333805e-01  2.12928257e+00
  -4.10627612e+00 -9.38817526e+00 -7.98361304e+00 -8.08396198e+00
  -7.94663734e+00 -2.10977315e-01 -6.90594051e+00 -1.28093837e+01
  -4.49753577e+00  1.17173005e+01  1.18015374e+01  1.39444536e+01
   1.10445997e+01  9.79587791e+00  7.69042988e+00 -1.24275017e+00
  -6.87534678e+00 -1.02706832e+01 -1.20515761e+01 -1.26149087e+01
  -1.28215218e+01 -1.43008966e+01 -8.38280694e+00 -1.61967588e+00
  -1.89440996e+00  4.88401878e-01  6.70591899e+00  1.02968335e+01
   5.25308035e+00]
 [ 7.01308875e+00  2.84859890e+00  4.31641319e+00  5.38885912e+00
   6.32427893e-01 -7.61571646e+00 -1.06793401e+01 -9.18211564e+00
  -1.38594817e+01 -1.69765456e+01 -1.46532623e+01 -1.72860592e+01
  -1.71678168e+01 -9.74474064e+00 -1.22030665e+01 -1.61490233e+01
  -1.33552071e+01  9.34313909e+00  8.31462981e+00  4.09176131e+00
   1.87323956e+00 -2.52161350e-02 -1.90809260e+00 -8.31383045e+00
  -1.59747343e+01 -1.66014548e+01 -1.57618526e+01 -1.35153460e+01
  -1.01381212e+01 -1.33047828e+01 -1.27549652e+01 -9.27779246e+00
  -9.80708222e+00 -6.94370566e+00 -1.90850674e+00 -1.62513653e-01
   3.07708966e+00]
 [ 5.26562835e+00  1.27177394e+00  7.00950349e-01  2.89718159e+00
   3.42140635e-01 -6.03288872e+00 -6.98193758e+00 -7.59716515e+00
  -9.85792400e+00 -1.06211781e+01 -8.39008590e+00 -1.29177004e+01
  -1.10583617e+01 -6.30135335e+00 -3.53048336e+00 -5.28107718e+00
  -8.04940270e+00  1.05369445e+01  9.21949518e+00  8.37689560e-01
   1.03551388e+00  1.10812665e+00  2.41501954e-01 -2.68947301e+00
  -1.02894386e+01 -9.88205921e+00 -6.16560365e+00 -3.62063118e+00
  -4.27579141e-01 -2.69392516e+00 -6.54341744e+00 -7.72727090e+00
  -8.92909203e+00 -6.99171611e+00 -3.37753958e+00 -2.20128310e+00
   5.41039266e+00]
 [ 9.48223566e+00  6.93228785e+00  5.84662311e+00  7.03578840e+00
   5.58681640e+00  1.96298470e+00  1.08466321e+00 -1.12761391e+00
  -1.56876662e+00 -2.15291554e+00 -1.34743860e+00 -4.56578124e+00
  -1.50421345e-01  2.88604489e+00  3.33838617e+00  2.70623699e+00
   2.78098008e+00  1.35800162e+01  1.24742574e+01  4.53770288e+00
   5.74682299e+00  8.55433276e+00  8.03192415e+00  6.45817163e+00
   6.02942288e-01 -2.68062827e+00 -3.17660630e-01 -4.51495292e-02
  -1.08834635e+00 -4.53216905e-01 -1.20247268e+00 -1.06955827e+00
  -8.79349522e-02 -2.93242028e-01  2.55948257e+00  4.45263424e+00
   5.70120829e+00]
 [ 1.36698821e+01  1.25793675e+01  1.16672745e+01  9.33821120e+00
   7.44428812e+00  5.97754195e+00  3.95750589e+00  8.64288058e-01
   5.51860445e-01 -1.22923765e+00 -2.20238789e+00 -2.59489545e+00
   2.69446104e+00  6.31583324e+00  2.61314311e+00  3.48417427e+00
   9.63023542e+00  1.28591747e+01  1.17789192e+01  7.54315596e+00
   7.21044923e+00  1.15704661e+01  1.05748050e+01  8.36773239e+00
   5.15113094e+00 -1.40602763e+00 -3.45030538e+00 -4.84419848e+00
  -9.37535242e+00 -7.72479770e+00 -2.51707817e+00  2.46927849e+00
   7.12131907e+00  5.19122386e+00  8.41902676e+00  1.15714435e+01
   5.22624327e+00]]"
murmur__185_1308073325396_B.wav,"[-0.00093845 -0.00407414 -0.00708671 ...  0.00186176  0.00169849
  0.00153529]","[[-449.47840027 -448.46365296 -448.92813283 ... -448.13626152
  -449.10244422 -456.95181525]
 [ 158.04175007  168.025138    168.69467831 ...  173.87440036
   170.66691667  161.33565659]
 [  63.05534398   82.7831658    84.44253164 ...   98.16483985
    91.44038454   86.09340298]
 ...
 [  10.27744506   12.14316479   10.07787244 ...   14.85302877
    15.93353926   10.05528107]
 [   5.61991265    9.4533189     9.44118823 ...   12.87555403
    15.33156055   12.34802117]
 [   2.78791899    3.7823486     4.8971921  ...    7.67085604
    10.24184134   12.28028761]]"
murmur__185_1308073325396_C.wav,"[ 0.02254751  0.02588361  0.02918468 ... -0.00346915 -0.00306453
 -0.0026486 ]","[[-391.37904083 -437.46176235 -475.52696944 ... -478.96417263
  -479.17680665 -486.42847898]
 [ 142.42132932  159.44811242  153.81200569 ...  148.66861031
   148.56412897  139.41219196]
 [  41.55186278   49.3134178    76.87632856 ...   71.28348194
    71.48918288   65.5176926 ]
 ...
 [  10.42641014    7.83566076    2.75808004 ...    7.85611769
     7.915774      8.16723434]
 [   9.23023245    6.97715245    5.75302205 ...    7.35265102
     9.51126546    6.76068549]
 [   8.91859137    7.02032253    5.52244186 ...    3.19759774
     4.39484769    1.78992755]]"
murmur__193_1308078104592_B.wav,"[ 0.01019969  0.01252118  0.0145335  ... -0.22287235 -0.20744462
 -0.19145508]","[[-3.61515225e+02 -3.52890570e+02 -3.54609044e+02 ... -2.72623693e+02
  -2.81897376e+02 -2.01917285e+02]
 [ 1.62925758e+02  1.78688512e+02  1.80782742e+02 ...  2.59348151e+02
   2.50367276e+02  1.69463038e+02]
 [ 7.77283901e+01  9.72113552e+01  1.07176589e+02 ...  1.09970614e+02
   1.09158604e+02  4.71091854e+01]
 ...
 [ 9.35399158e+00  4.33038890e+00  5.44133313e-01 ...  1.05540896e+01
   1.17788205e+01 -2.46796258e+00]
 [ 5.49159710e+00  3.51111100e+00 -1.45658385e-01 ...  1.17141498e+01
   1.33141387e+01  1.86474794e+00]
 [ 1.79860097e+00  1.94056026e+00  1.81360058e+00 ...  6.82528438e+00
   8.17136209e+00  8.84141647e+00]]"
